"FROM","TO"
"'s-Hertogenbosch","Vught"
"Boxtel","Vught"
"Best","Boxtel"
"Best","Eindhoven Strijp-S"
"Eindhoven","Eindhoven Strijp-S"
"'s-Hertogenbosch","'s-Hertogenbosch Oost"
"Rosmalen","'s-Hertogenbosch Oost"
"Oss West","Rosmalen"
"Oss","Oss West"
"Oss","Ravenstein"
"Ravenstein","Wijchen"
"Nijmegen Dukenburg","Wijchen"
"Nijmegen Dukenburg","Nijmegen Goffert"
"Nijmegen","Nijmegen Goffert"
"'s-Hertogenbosch","Tilburg"
"'s-Hertogenbosch","Zaltbommel"
"Geldermalsen","Zaltbommel"
"Culemborg","Geldermalsen"
"Culemborg","Houten Castellum"
"Houten","Houten Castellum"
"Houten","Utrecht Lunetten"
"Utrecht Lunetten","Utrecht Vaartsche Rijn"
"Utrecht Centraal","Utrecht Vaartsche Rijn"
"Alkmaar","Heiloo"
"Castricum","Heiloo"
"Castricum","Uitgeest"
"Krommenie-Assendelft","Uitgeest"
"Krommenie-Assendelft","Wormerveer"
"Wormerveer","Zaandijk Zaanse Schans"
"Koog aan de Zaan","Zaandijk Zaanse Schans"
"Koog aan de Zaan","Zaandam"
"Amsterdam Sloterdijk","Zaandam"
"Amsterdam Centraal","Amsterdam Sloterdijk"
"Alkmaar","Alkmaar Noord"
"Alkmaar Noord","Heerhugowaard"
"Heerhugowaard","Schagen"
"Anna Paulowna","Schagen"
"Anna Paulowna","Den Helder Zuid"
"Den Helder","Den Helder Zuid"
"Heerhugowaard","Obdam"
"Hoorn","Obdam"
"Almelo","Wierden"
"Rijssen","Wierden"
"Holten","Rijssen"
"Deventer Colmschate","Holten"
"Deventer","Deventer Colmschate"
"Almelo","Almelo de Riet"
"Almelo de Riet","Borne"
"Borne","Hengelo"
"Almelo","Vriezenveen"
"Daarlerveen","Vriezenveen"
"Daarlerveen","Vroomshoop"
"Mariënberg","Vroomshoop"
"Nijverdal","Wierden"
"Nijverdal","Raalte"
"Heino","Raalte"
"Heino","Zwolle"
"Almere Buiten","Almere Oostvaarders"
"Almere Buiten","Almere Parkwijk"
"Almere Centrum","Almere Parkwijk"
"Almere Centrum","Almere Muziekwijk"
"Almere Muziekwijk","Almere Poort"
"Almere Poort","Naarden-Bussum"
"Bussum Zuid","Naarden-Bussum"
"Bussum Zuid","Hilversum Media Park"
"Hilversum","Hilversum Media Park"
"Hilversum","Hilversum Sportpark"
"Hilversum Sportpark","Hollandsche Rading"
"Hollandsche Rading","Utrecht Overvecht"
"Utrecht Centraal","Utrecht Overvecht"
"Alphen a/d Rijn","Boskoop"
"Amersfoort","Baarn"
"Baarn","Hilversum"
"Naarden-Bussum","Weesp"
"Diemen","Weesp"
"Amsterdam Science Park","Diemen"
"Amsterdam Muiderpoort","Amsterdam Science Park"
"Amsterdam Centraal","Amsterdam Muiderpoort"
"Amersfoort","Apeldoorn"
"Amersfoort","Hoevelaken"
"Barneveld Noord","Hoevelaken"
"Barneveld Centrum","Barneveld Noord"
"Barneveld Centrum","Barneveld Zuid"
"Barneveld Zuid","Lunteren"
"Ede Centrum","Lunteren"
"Ede Centrum","Ede-Wageningen"
"Diemen Zuid","Weesp"
"Diemen Zuid","Duivendrecht"
"Amsterdam RAI","Duivendrecht"
"Amsterdam RAI","Amsterdam Zuid"
"Amsterdam Zuid","Schiphol Airport"
"Amersfoort","Den Dolder"
"Bilthoven","Den Dolder"
"Bilthoven","Utrecht Overvecht"
"Amersfoort","Amersfoort Schothorst"
"Amersfoort Schothorst","Amersfoort Vathorst"
"Amersfoort Vathorst","Nijkerk"
"Nijkerk","Putten"
"Ermelo","Putten"
"Ermelo","Harderwijk"
"Harderwijk","Nunspeet"
"Nunspeet","'t Harde"
"'t Harde","Wezep"
"Wezep","Zwolle"
"Amsterdam Sloterdijk","Halfweg-Zwanenburg"
"Haarlem Spaarnwoude","Halfweg-Zwanenburg"
"Haarlem","Haarlem Spaarnwoude"
"Zaandam","Zaandam Kogerveld"
"Purmerend Weidevenne","Zaandam Kogerveld"
"Purmerend","Purmerend Weidevenne"
"Purmerend","Purmerend Overwhere"
"Hoorn","Purmerend Overwhere"
"Almere Poort","Weesp"
"Almere Oostvaarders","Lelystad Centrum"
"Amsterdam Lelylaan","Amsterdam Sloterdijk"
"Amsterdam Lelylaan","Schiphol Airport"
"Amsterdam Amstel","Amsterdam Muiderpoort"
"Amsterdam Amstel","Duivendrecht"
"Amsterdam Bijlmer ArenA","Duivendrecht"
"Amsterdam Bijlmer ArenA","Amsterdam Holendrecht"
"Abcoude","Amsterdam Holendrecht"
"Abcoude","Breukelen"
"Breukelen","Maarssen"
"Maarssen","Utrecht Zuilen"
"Utrecht Centraal","Utrecht Zuilen"
"Breukelen","Woerden"
"Apeldoorn","Apeldoorn Osseveld"
"Apeldoorn Osseveld","Twello"
"Deventer","Twello"
"Apeldoorn","Apeldoorn De Maten"
"Apeldoorn De Maten","Klarenbeek"
"Klarenbeek","Voorst-Empe"
"Voorst-Empe","Zutphen"
"Arnhem Centraal","Arnhem Velperpoort"
"Arnhem Velperpoort","Westervoort"
"Duiven","Westervoort"
"Duiven","Zevenaar"
"Arnhem Centraal","Arnhem Zuid"
"Arnhem Zuid","Elst"
"Elst","Nijmegen Lent"
"Nijmegen","Nijmegen Lent"
"Elst","Zetten-Andelst"
"Hemmen-Dodewaard","Zetten-Andelst"
"Hemmen-Dodewaard","Opheusden"
"Kesteren","Opheusden"
"Kesteren","Tiel"
"Arnhem Centraal","Oosterbeek"
"Oosterbeek","Wolfheze"
"Ede-Wageningen","Wolfheze"
"Ede-Wageningen","Veenendaal-De Klomp"
"Maarn","Veenendaal-De Klomp"
"Driebergen-Zeist","Maarn"
"Bunnik","Driebergen-Zeist"
"Bunnik","Utrecht Vaartsche Rijn"
"Aalten","Winterswijk"
"Aalten","Varsseveld"
"Terborg","Varsseveld"
"Gaanderen","Terborg"
"Doetinchem","Gaanderen"
"Doetinchem","Doetinchem De Huet"
"Doetinchem De Huet","Wehl"
"Didam","Wehl"
"Didam","Zevenaar"
"Arnhem Presikhaaf","Arnhem Velperpoort"
"Arnhem Presikhaaf","Velp"
"Rheden","Velp"
"Dieren","Rheden"
"Brummen","Dieren"
"Brummen","Zutphen"
"Baarn","Soestdijk"
"Soest","Soestdijk"
"Soest","Soest Zuid"
"Den Dolder","Soest Zuid"
"Groningen","Groningen Europapark"
"Groningen Europapark","Kropswolde"
"Kropswolde","Martenshoek"
"Hoogezand-Sappemeer","Martenshoek"
"Hoogezand-Sappemeer","Sappemeer Oost"
"Sappemeer Oost","Zuidbroek"
"Scheemda","Zuidbroek"
"Scheemda","Winschoten"
"Bad Nieuweschans","Winschoten"
"Hengelo Oost","Oldenzaal"
"Hengelo","Hengelo Oost"
"Breda","Breda-Prinsenbeek"
"Breda-Prinsenbeek","Lage Zwaluwe"
"Dordrecht Zuid","Lage Zwaluwe"
"Dordrecht","Dordrecht Zuid"
"Breda","Etten-Leur"
"Etten-Leur","Roosendaal"
"Breda","Rotterdam Centraal"
"Breda","Gilze-Rijen"
"Gilze-Rijen","Tilburg Reeshof"
"Tilburg Reeshof","Tilburg Universiteit"
"Tilburg","Tilburg Universiteit"
"Delfzijl","Delfzijl West"
"Appingedam","Delfzijl West"
"Appingedam","Loppersum"
"Loppersum","Stedum"
"Bedum","Stedum"
"Bedum","Sauwerd"
"Groningen Noord","Sauwerd"
"Groningen","Groningen Noord"
"Den Haag Centraal","Den Haag HS"
"Den Haag Centraal","Den Haag Laan v NOI"
"Den Haag Laan v NOI","Den Haag Mariahoeve"
"Den Haag Mariahoeve","Voorschoten"
"De Vink","Voorschoten"
"De Vink","Leiden Centraal"
"Den Haag Centraal","Voorburg"
"Den Haag Ypenburg","Voorburg"
"Den Haag Ypenburg","Zoetermeer"
"Zoetermeer","Zoetermeer Oost"
"Gouda","Zoetermeer Oost"
"Gouda","Gouda Goverwelle"
"Gouda Goverwelle","Woerden"
"Vleuten","Woerden"
"Utrecht Terwijde","Vleuten"
"Utrecht Leidsche Rijn","Utrecht Terwijde"
"Utrecht Centraal","Utrecht Leidsche Rijn"
"Den Haag HS","Den Haag Laan v NOI"
"Den Haag HS","Den Haag Moerwijk"
"Den Haag Moerwijk","Rijswijk"
"Delft","Rijswijk"
"Delft","Delft Zuid"
"Delft Zuid","Schiedam Centrum"
"Rotterdam Centraal","Schiedam Centrum"
"Deventer","Zutphen"
"Deventer","Olst"
"Olst","Wijhe"
"Wijhe","Zwolle"
"Dordrecht","Dordrecht Stadspolders"
"Dordrecht Stadspolders","Sliedrecht Baanhoek"
"Sliedrecht","Sliedrecht Baanhoek"
"Hardinxveld Blauwe Zoom","Sliedrecht"
"Hardinxveld Blauwe Zoom","Hardinxveld-Giessendam"
"Boven-Hardinxveld","Hardinxveld-Giessendam"
"Boven-Hardinxveld","Gorinchem"
"Arkel","Gorinchem"
"Arkel","Leerdam"
"Beesd","Leerdam"
"Beesd","Geldermalsen"
"Lage Zwaluwe","Zevenbergen"
"Oudenbosch","Zevenbergen"
"Oudenbosch","Roosendaal"
"Rotterdam Blaak","Rotterdam Centraal"
"Rotterdam Blaak","Rotterdam Zuid"
"Rotterdam Stadion","Rotterdam Zuid"
"Rotterdam Lombardijen","Rotterdam Stadion"
"Barendrecht","Rotterdam Lombardijen"
"Barendrecht","Zwijndrecht"
"Dordrecht","Zwijndrecht"
"Enschede De Eschmarke","Glanerbrug"
"Enschede","Enschede De Eschmarke"
"Sauwerd","Winsum"
"Baflo","Winsum"
"Baflo","Warffum"
"Usquert","Warffum"
"Uithuizen","Usquert"
"Uithuizen","Uithuizermeeden"
"Roodeschool","Uithuizermeeden"
"Eindhoven","Geldrop"
"Geldrop","Heeze"
"Heeze","Maarheeze"
"Maarheeze","Weert"
"Roermond","Weert"
"Oisterwijk","Tilburg"
"Boxtel","Oisterwijk"
"Eindhoven","Helmond Brandevoort"
"Helmond Brandevoort","Helmond 't Hout"
"Helmond","Helmond 't Hout"
"Helmond","Helmond Brouwhuis"
"Deurne","Helmond Brouwhuis"
"Deurne","Horst-Sevenum"
"Blerick","Horst-Sevenum"
"Blerick","Venlo"
"Emmen","Emmen Zuid"
"Emmen Zuid","Nieuw Amsterdam"
"Dalen","Nieuw Amsterdam"
"Coevorden","Dalen"
"Coevorden","Gramsbergen"
"Gramsbergen","Hardenberg"
"Hardenberg","Mariënberg"
"Mariënberg","Ommen"
"Dalfsen","Ommen"
"Dalfsen","Zwolle"
"Bovenkarspel Flora","Enkhuizen"
"Bovenkarspel Flora","Bovenkarspel-Grootebroek"
"Bovenkarspel-Grootebroek","Hoogkarspel"
"Hoogkarspel","Hoorn Kersenboogerd"
"Hoorn","Hoorn Kersenboogerd"
"Enschede","Enschede Kennispark"
"Enschede Kennispark","Hengelo"
"Groningen","Zuidhorn"
"Grijpskerk","Zuidhorn"
"Buitenpost","Grijpskerk"
"Buitenpost","De Westereen"
"De Westereen","Feanwalden"
"Feanwalden","Hurdegaryp"
"Hurdegaryp","Leeuwarden Camminghaburen"
"Leeuwarden Achter d Hoven","Leeuwarden Camminghaburen"
"Leeuwarden","Leeuwarden Achter d Hoven"
"Veendam","Zuidbroek"
"Groningen Europapark","Haren"
"Assen","Haren"
"Assen","Beilen"
"Beilen","Hoogeveen"
"Hoogeveen","Meppel"
"Meppel","Zwolle"
"Haarlem","Heemstede-Aerdenhout"
"Heemstede-Aerdenhout","Hillegom"
"Hillegom","Voorhout"
"Leiden Centraal","Voorhout"
"Bloemendaal","Haarlem"
"Bloemendaal","Santpoort Zuid"
"Santpoort Noord","Santpoort Zuid"
"Driehuis","Santpoort Noord"
"Beverwijk","Driehuis"
"Beverwijk","Heemskerk"
"Heemskerk","Uitgeest"
"Haarlem","Overveen"
"Overveen","Zandvoort aan Zee"
"Harlingen","Harlingen Haven"
"Franeker","Harlingen"
"Dronryp","Franeker"
"Deinum","Dronryp"
"Deinum","Leeuwarden"
"Heerlen","Heerlen De Kissel"
"Heerlen De Kissel","Landgraaf"
"Eygelshoven Markt","Landgraaf"
"Eygelshoven","Landgraaf"
"Chevremont","Eygelshoven"
"Chevremont","Kerkrade Centrum"
"Heerlen","Heerlen Woonboulevard"
"Heerlen Woonboulevard","Voerendaal"
"Klimmen-Ransdaal","Voerendaal"
"Klimmen-Ransdaal","Schin op Geul"
"Schin op Geul","Valkenburg"
"Maastricht Noord","Meerssen"
"Maastricht","Maastricht Noord"
"Heerlen","Hoensbroek"
"Hoensbroek","Nuth"
"Nuth","Schinnen"
"Schinnen","Spaubeek"
"Geleen Oost","Spaubeek"
"Geleen Oost","Sittard"
"Hengelo","Hengelo Gezondheidspark"
"Delden","Hengelo Gezondheidspark"
"Delden","Goor"
"Goor","Lochem"
"Lochem","Zutphen"
"Leeuwarden","Mantgum"
"Mantgum","Sneek Noord"
"Sneek","Sneek Noord"
"IJlst","Sneek"
"IJlst","Workum"
"Hindeloopen","Workum"
"Hindeloopen","Koudum-Molkwerum"
"Koudum-Molkwerum","Stavoren"
"Grou-Jirnsum","Leeuwarden"
"Akkrum","Grou-Jirnsum"
"Akkrum","Heerenveen"
"Heerenveen","Heerenveen IJsstadion"
"Heerenveen IJsstadion","Wolvega"
"Steenwijk","Wolvega"
"Meppel","Steenwijk"
"Leiden Centraal","Sassenheim"
"Nieuw Vennep","Sassenheim"
"Hoofddorp","Nieuw Vennep"
"Hoofddorp","Schiphol Airport"
"Leiden Centraal","Leiden Lammenschans"
"Alphen a/d Rijn","Leiden Lammenschans"
"Alphen a/d Rijn","Bodegraven"
"Bodegraven","Woerden"
"Dronten","Lelystad Centrum"
"Dronten","Kampen Zuid"
"Kampen Zuid","Zwolle"
"Eijsden","Maastricht Randwyck"
"Maastricht","Maastricht Randwyck"
"Bunde","Maastricht"
"Beek-Elsloo","Bunde"
"Beek-Elsloo","Geleen-Lutterade"
"Geleen-Lutterade","Sittard"
"Nijmegen","Nijmegen Heyendaal"
"Mook Molenhoek","Nijmegen Heyendaal"
"Cuijk","Mook Molenhoek"
"Boxmeer","Cuijk"
"Boxmeer","Vierlingsbeek"
"Venray","Vierlingsbeek"
"Blerick","Venray"
"Rhenen","Veenendaal Centrum"
"Veenendaal Centrum","Veenendaal West"
"Maarn","Veenendaal West"
"Echt","Roermond"
"Echt","Susteren"
"Sittard","Susteren"
"Roermond","Swalmen"
"Reuver","Swalmen"
"Reuver","Tegelen"
"Tegelen","Venlo"
"Bergen op Zoom","Roosendaal"
"Bergen op Zoom","Rilland-Bath"
"Krabbendijke","Rilland-Bath"
"Krabbendijke","Kruiningen-Yerseke"
"Kapelle-Biezelinge","Kruiningen-Yerseke"
"Goes","Kapelle-Biezelinge"
"Arnemuiden","Goes"
"Arnemuiden","Middelburg"
"Middelburg","Vlissingen Souburg"
"Vlissingen","Vlissingen Souburg"
"Rotterdam Centraal","Schiphol Airport"
"Rotterdam Centraal","Rotterdam Noord"
"Rotterdam Alexander","Rotterdam Noord"
"Capelle Schollevaar","Rotterdam Alexander"
"Capelle Schollevaar","Nieuwerkerk a/d IJssel"
"Gouda","Nieuwerkerk a/d IJssel"
"Amsterdam Bijlmer ArenA","Amsterdam RAI"
"Tiel","Tiel Passewaaij"
"Geldermalsen","Tiel Passewaaij"
"Utrecht Centraal","Utrecht Maliebaan"
"Winterswijk","Winterswijk West"
"Lichtenvoorde-Groenlo","Winterswijk West"
"Lichtenvoorde-Groenlo","Ruurlo"
"Ruurlo","Vorden"
"Vorden","Zutphen"
